LowBound	Rstart	Gstart	Bstart	Rend	Gend	Bend
-15000	255	0	255	255	0	128
-10000	255	0	128	255	0	192
-9000	255	0	192	255	0	255
-8000	255	0	255	192	0	255
-7000	192	0	255	128	0	255
-6000	128	0	255	0	0	255
-5000	0	0	255	0	128	255
-4000	0	128	255	0	192	255
-3000	0	192	255	0	192	128
-2000	0	192	128	0	192	64
-1000	0	192	64	0	255	0
0	0	255	0	64	192	0
1000	64	192	0	128	128	0
2000	128	128	0	192	128	0
3000	192	128	0	255	255	0
4000	255	255	0	255	192	0
5000	255	192	0	255	128	0
6000	255	128	0	255	64	0
7000	255	64	0	255	0	0
8000	255	0	0	255	128	128
9000	255	128	128	128	128	128
10000	128	128	128	255	255	255
15000	255	255	255	255	0	255
